,active,age,card2_2,card2_3,card2_4,card2_5,card_2,card_3,card_4,card_5,cardbenefit_2,cardbenefit_3,cardbenefit_4,churn,creddebt,debtinc,default,ed,gender,income,jobcat_2,jobcat_3,jobcat_4,jobcat_5,jobcat_6,marital,othdebt,reason_2,reason_3,reason_4,reason_9,retire,tenure
active,1.0,-0.23901144771925398,-0.00024307328811018158,-0.006222485157331967,-0.01213850083819779,0.006691252063467193,-0.005654394527476452,0.0411176326627532,-0.02197917777590463,0.013755053483800824,0.011497460201901906,-0.010750330650642579,0.0013888554003028315,0.07564482620894013,-0.049982458279241644,-0.0028522439642946562,0.11295531943819725,0.01508802656088853,0.021339546044192484,-0.0700158086336315,-0.005328800238720379,0.0013137939833037155,0.02230075333605205,-0.009272599137661925,-0.029804269314225744,-0.015942176921749568,-0.05222422381696564,-0.00314806840678646,-0.017228955965530226,0.008584278341837833,-0.003305741411055625,-0.11518867639872232,-0.16062127528502096
age,-0.23901144771925398,1.0,0.0008387650209340085,-0.02577199003362882,0.008067361398669249,0.004315206930198717,-0.0016629674616944012,0.010918407502640842,0.02327136434140859,-0.03460925259048858,0.001528130866156493,-0.0020306904101020026,0.008344150814291061,-0.2659762668756393,0.14240062973632459,0.03903086445689694,-0.39420822661228944,-0.0939655681358492,-0.010185912956126955,0.20828641574685286,-0.02951267656947171,0.02216895366813142,-0.02259139808150877,-0.006616856040163115,0.04993988635013037,0.00303097168613744,0.15451363452171066,0.01774418656148824,0.016491469210631642,0.00010299368344349886,-0.021011663603072925,0.5675186183634663,0.6120137497145587
card2_2,-0.00024307328811018158,0.0008387650209340085,1.0,-0.3669022007805404,-0.3224793542910352,-0.16145302540405745,-0.34185381207089843,0.23135874052774857,0.07947243367764799,0.08386128161955536,0.03247863392015388,-0.020393972773583336,0.000789550319146726,-0.02873723075811173,0.005038408303774678,0.009365902347578616,0.0024819309485504403,-0.03346263785148209,-0.0019908270112873943,-0.0009625410811007184,-0.02498064540753703,-0.01151299621637879,0.0018948762730287055,0.022874861152479997,-2.3289934278513834e-05,-0.028047661627770153,0.00972086983996468,-0.025761824946507278,0.017899738300938394,0.005337881016120509,-0.012013441596688967,-0.0026057729374110447,0.01162369248738739
card2_3,-0.006222485157331967,-0.02577199003362882,-0.3669022007805404,1.0,-0.336402540629646,-0.1684238299772013,0.2384834488052692,-0.34765834536910994,0.08467691514232917,0.08504688448060785,-0.015295606666753489,-0.006814891355234817,0.0030969797289642177,0.02217471486752161,-0.02578281088268354,0.0053902779287930665,0.0241367953321032,-0.032975083057693956,0.050082211163407574,-0.042851661574460465,0.015279780002389165,0.004589709547198211,0.022890490908513687,-0.014206865413003679,-0.009652363795405511,-0.011270644792258318,-0.027771791348390897,-0.005041178182359306,0.01777928895048096,0.015388344552035617,-0.0018173065104615247,0.018552731445881352,-0.02488247233077969
card2_4,-0.01213850083819779,0.008067361398669249,-0.3224793542910352,-0.336402540629646,1.0,-0.14803184015446222,0.05885587851425098,0.05039196628348857,-0.3296871146925939,-0.08978050613329279,-0.004330028055230906,0.0331086889417497,-0.017884323532929534,0.024218903381435206,0.02319981314314571,-0.007148048744579362,0.004251161700062189,0.07482587123862,-0.023454722553579107,0.03487402625013457,-0.014462791874682787,-0.0021458076723612396,-0.012720315692490644,-0.0019052261108203016,0.022132615978449604,0.043011852234022555,0.016889450898221702,0.01827411848060725,-0.02247860442682563,-0.02313611471661685,0.012563265921324179,-0.013988539192558174,0.02335925738409238
card2_5,0.006691252063467193,0.004315206930198717,-0.16145302540405745,-0.1684238299772013,-0.14803184015446222,1.0,0.1403544654635306,0.11861871660582364,-0.1276835776624601,-0.05881993168364096,-0.0035517004313840744,0.016468324832453498,0.012300811026042215,-0.024233044308659957,-0.060764854477248526,-0.015181384774573514,-0.01639505210103911,-0.15545947949010255,0.020924248895671897,-0.08455323673792714,0.008134941104415006,0.0029209730149390807,0.0014567953706057465,-0.0005173435251234933,0.008081567327603444,-0.026327579990545295,-0.06528208397706838,-0.004366046367010616,-0.014368113006526066,0.0041550530032868635,-0.005209859353201361,0.044666935801303834,-0.042064406719088274
card_2,-0.005654394527476452,-0.0016629674616944012,-0.34185381207089843,0.2384834488052692,0.05885587851425098,0.1403544654635306,1.0,-0.3239237333814277,-0.34949461244143715,-0.12454283728333893,-0.011815386680640203,0.02255768299592602,-0.006138251798029293,-0.017795464015377155,-0.07035978150192902,-0.020198354933320773,-5.173741267120142e-05,-0.12070382904867749,0.038840042431487684,-0.10133324163965202,0.02952198137293205,0.0005217440863115374,-0.002002245063721131,-0.0011748337492707226,0.004579570385641531,-0.009075921268484182,-0.06577476855645478,-0.015714532782814275,-0.01835670640150285,-0.0006028622697629199,0.02527290108578879,0.03902159357653341,-0.024361103816199735
card_3,0.0411176326627532,0.010918407502640842,0.23135874052774857,-0.34765834536910994,0.05039196628348857,0.11861871660582364,-0.3239237333814277,1.0,-0.34071822575717636,-0.12141536103667516,0.020175460663642716,0.007780723995466416,-1.0229791147761855e-16,-0.06444291221299699,-0.024411009714010213,-0.0046704236428114256,-0.013313521354564243,-0.11569861177859146,0.024988757169979343,-0.06111567476088909,-0.02054770115115476,-0.013924536845653365,0.0026029187050835624,0.015546945852031235,-0.001522551566573058,-0.034905835328820016,-0.045966077775856665,-0.009984193104730298,0.005822758541650337,0.02220882071068988,-0.007741474754473169,0.024926119304514972,0.015449231313171795
card_4,-0.02197917777590463,0.02327136434140859,0.07947243367764799,0.08467691514232917,-0.3296871146925939,-0.1276835776624601,-0.34949461244143715,-0.34071822575717636,1.0,-0.13100001690825436,-0.01350120174808038,-0.019102304055302055,0.021878418770043526,0.05155997104852778,0.08813594887290785,0.011234480135849942,-0.0072061136464345605,0.18778338494789673,-0.007974660029066603,0.14554668532923332,0.004965902846505721,0.003208425680356761,0.006748747136804696,-0.010222115957208618,-0.005152431096109129,0.025834742063565428,0.09584457781268872,-0.061231884753586076,0.028379645796192256,0.01817286763743661,0.013606111908278125,-0.05516528333072239,0.02994297555459372
card_5,0.013755053483800824,-0.03460925259048858,0.08386128161955536,0.08504688448060785,-0.08978050613329279,-0.05881993168364096,-0.12454283728333893,-0.12141536103667516,-0.13100001690825436,1.0,-0.0042790301781954285,0.002622820544152716,0.005034447657510228,-0.02554212149281043,-0.05195326777969785,0.006403953342773139,0.026935232015566163,-0.1489246294910189,0.03623162179656833,-0.08384482964053235,0.022403621359257567,0.0010230251160724569,-0.011805430430948331,-0.014053040930697563,-0.015989009004905037,-0.02537471558186644,-0.05674684626808276,-0.012021858707650393,0.00417814018596993,0.008899277095135043,-0.009192858986660281,0.022084919261497766,-0.035054725207481964
cardbenefit_2,0.011497460201901906,0.001528130866156493,0.03247863392015388,-0.015295606666753489,-0.004330028055230906,-0.0035517004313840744,-0.011815386680640203,0.020175460663642716,-0.01350120174808038,-0.0042790301781954285,1.0,-0.33417907029918653,-0.32995546839814033,0.0024670971885090882,0.01725653365886827,-0.0012632252095168097,-0.004714063553949087,0.023496104048455924,-0.006436246234112454,0.02630956547922948,-0.011636945654848893,-0.0037244012175996965,0.0018561042508395357,0.017351858924950232,-0.00456278452520685,-0.016843620852350298,0.010570880164651684,-0.006392790645601335,-0.013265537709627403,0.00695814263379693,0.0063927794159452005,-0.010072458611381218,0.0030150347708761192
cardbenefit_3,-0.010750330650642579,-0.0020306904101020026,-0.020393972773583336,-0.006814891355234817,0.0331086889417497,0.016468324832453498,0.02255768299592602,0.007780723995466416,-0.019102304055302055,0.002622820544152716,-0.33417907029918653,1.0,-0.3376001736653804,-0.003775326463225175,-0.020956161314053746,0.003552893341171632,-0.006904571093697282,-0.022552539152290076,0.00037967818402298407,-0.006242772472905831,-0.008673489068729933,0.0028186520873540216,0.0022377275951280134,-0.013076310148134738,0.011588566054228326,0.008475014220739752,0.003847741062910089,0.0029627121841107698,0.002059694858072218,-0.012016753034268177,-0.014577410242325612,0.007709040056524522,0.002639810459425662
cardbenefit_4,0.0013888554003028315,0.008344150814291061,0.000789550319146726,0.0030969797289642177,-0.017884323532929534,0.012300811026042215,-0.006138251798029293,-1.0229791147761855e-16,0.021878418770043526,0.005034447657510228,-0.32995546839814033,-0.3376001736653804,1.0,0.0005310866182323973,-0.0014702685629916234,0.004118468339778116,0.01772276988487877,-0.005591462118437217,0.023556501575373208,-0.020863450903570276,0.0167246378561961,-0.002802828078896109,-0.0022922097877429103,-0.006442878031169767,-0.028156914591683586,-0.01779634752593473,-0.008819454471749285,0.0059709484864234235,0.007613856364556745,0.008858517759780351,0.011783124785213156,0.0045575611532335785,-0.005885967134392564
churn,0.07564482620894013,-0.2659762668756393,-0.02873723075811173,0.02217471486752161,0.024218903381435206,-0.024233044308659957,-0.017795464015377155,-0.06444291221299699,0.05155997104852778,-0.02554212149281043,0.0024670971885090882,-0.003775326463225175,0.0005310866182323973,1.0,-0.03538715968044234,-0.007721446678355695,0.15259132463269875,0.23903598911621826,-0.013391432152145109,-0.046093009908290766,0.06441446430844094,-0.03765645413226077,-0.019808913560130603,-0.01194353566850452,-0.051005140985768506,-0.05149160646558877,-0.039363364670441554,-0.005186197102635641,-0.036532926339029895,-0.008295136131538481,-0.0023072729430616825,-0.15153149891902157,-0.38457481338024674
creddebt,-0.049982458279241644,0.14240062973632459,0.005038408303774678,-0.02578281088268354,0.02319981314314571,-0.060764854477248526,-0.07035978150192902,-0.024411009714010213,0.08813594887290785,-0.05195326777969785,0.01725653365886827,-0.020956161314053746,-0.0014702685629916234,-0.03538715968044234,1.0,0.462598112387306,0.24035568124958423,0.12236187768587059,-0.006573839062527256,0.6275776037551266,-0.13209300646237407,0.0414280319319119,0.0035737677228720914,0.022782299882347694,0.07282006435151815,-0.014971828572012338,0.6404106073677207,0.0031574072689715387,-0.011857725836460735,0.01143094160308692,0.013447667963426871,-0.158139161960587,0.14970600006294812
debtinc,-0.0028522439642946562,0.03903086445689694,0.009365902347578616,0.0053902779287930665,-0.007148048744579362,-0.015181384774573514,-0.020198354933320773,-0.0046704236428114256,0.011234480135849942,0.006403953342773139,-0.0012632252095168097,0.003552893341171632,0.004118468339778116,-0.007721446678355695,0.462598112387306,1.0,0.29429067090190664,0.013870837611424179,0.004745840260109728,0.011585930898614986,-0.005239218384602559,1.4156949354927051e-05,-0.015743548205446923,0.001890621610261062,0.00939434208054233,-0.03837624917968031,0.5269636450546484,0.006081930312987128,-0.021554409063826243,0.0027528924894952888,0.013749646682788297,0.024039067541956317,0.018607212159000432
default,0.11295531943819725,-0.39420822661228944,0.0024819309485504403,0.0241367953321032,0.004251161700062189,-0.01639505210103911,-5.173741267120142e-05,-0.013313521354564243,-0.0072061136464345605,0.026935232015566163,-0.004714063553949087,-0.006904571093697282,0.01772276988487877,0.15259132463269875,0.24035568124958423,0.29429067090190664,1.0,0.11008006546968357,-0.001620451957323412,-0.017053334916004362,0.07736622664595806,-0.02751741736257458,-0.04371112890801511,-0.034351872869747925,-0.05912766228825031,-0.044724053177062344,0.1181290484132385,-0.01013221302389096,-0.028245471462813664,-0.0019465490731586331,0.020507388889265257,-0.21148168145595858,-0.29588799989530273
